city_fips,city_name,st,cty_fips,rucc,cz,pop_2010
3600199,Adams,New York,36045,3,198,1775
3600276,Addison,New York,36101,4,431,1763
3600342,Afton,New York,36017,6,466,822
3600441,Akron,New York,36029,1,164,2868
3601000,Albany,New York,36001,2,96,97856
3601088,Alden,New York,36029,1,164,2605
3601187,Alexandria Bay,New York,36045,3,198,1078
3601198,Alfred,New York,36003,7,164,4174
3602044,Amityville,New York,36103,1,134,9523
3602143,Andover,New York,36003,7,164,1042
3602176,Angelica,New York,36003,7,164,869
3602198,Angola,New York,36029,1,164,2127
3602407,Arcade,New York,36121,6,164,2071
3602506,Ardsley,New York,36119,1,151,4452
3602902,Athens,New York,36039,6,96,1668
3603078,Auburn,New York,36011,4,214,27687
3603331,Avoca,New York,36101,4,431,946
3603353,Avon,New York,36051,1,184,3394
3603408,Babylon,New York,36103,1,134,12166
3604033,Bainbridge,New York,36017,6,466,1355
3604198,Baldwinsville,New York,36067,2,214,7378
3604253,Ballston Spa,New York,36091,2,96,5409
3604715,Batavia,New York,36037,4,164,15465
3604759,Bath,New York,36101,4,431,5786
3605034,Bayville,New York,36059,1,134,6669
3605100,Beacon,New York,36027,1,151,15541
3605562,Belfast,New York,36003,7,164,837
3605639,Bellerose,New York,36059,1,134,1193
3605815,Belmont,New York,36003,7,164,969
3606046,Bergen,New York,36037,4,164,1176
3606464,Big Flats,New York,36015,3,431,5277
3606607,Binghamton,New York,36007,2,169,47376
3606849,Blasdell,New York,36029,1,164,2553
3607190,Bolivar,New York,36003,7,164,1047
3607355,Boonville,New York,36065,2,198,2072
3608070,Brewster,New York,36079,1,151,2390
3608103,Briarcliff Manor,New York,36119,1,151,7867
3608323,Brightwaters,New York,36103,1,134,3103
3608422,Broadalbin,New York,36035,4,385,1327
3608466,Brockport,New York,36055,1,184,8366
3608488,Brocton,New York,36013,4,215,1486
3608532,Bronxville,New York,36119,1,151,6323
3609000,Brookhaven,New York,36103,1,134,3451
3610231,Brownville,New York,36045,3,198,1119
3610341,Buchanan,New York,36119,1,151,2230
3611000,Buffalo,New York,36029,1,164,261310
3611638,Cairo,New York,36039,6,96,1402
3611704,Caledonia,New York,36051,1,184,2201
3611825,Cambridge,New York,36115,3,96,1870
3611847,Camden,New York,36065,2,198,2231
3611902,Camillus,New York,36067,2,214,1213
3612111,Canajoharie,New York,36057,4,385,2229
3612188,Canastota,New York,36053,2,214,4804
3612210,Candor,New York,36107,2,169,851
3612254,Canisteo,New York,36101,4,431,2270
3612331,Canton,New York,36089,4,527,6314
3612683,Carthage,New York,36045,3,198,3747
3612771,Castile,New York,36121,6,164,1015
3612870,Castleton-on-Hudson,New York,36083,2,96,1473
3613024,Cattaraugus,New York,36009,4,164,1002
3613145,Cazenovia,New York,36053,2,214,2835
3613233,Cedarhurst,New York,36059,1,134,6592
3613288,Celoron,New York,36013,4,215,1112
3613739,Champlain,New York,36019,5,527,1101
3615814,Clarence,New York,36029,1,164,2646
3615946,Clarkson,New York,36055,1,184,4358
3616089,Clayton,New York,36045,3,198,1978
3616375,Clifton Springs,New York,36069,1,184,2127
3616573,Clyde,New York,36117,1,184,2093
3616727,Cohocton,New York,36101,4,431,838
3616749,Cohoes,New York,36001,2,96,16168
