city_fips,city_name,st,cty_fips,rucc,cz,pop_2010
4200628,Albion,Pennsylvania,42049,2,215,1516
4200676,Aldan,Pennsylvania,42045,1,316,4152
4200820,Aliquippa,Pennsylvania,42007,1,203,9438
4202000,Allentown,Pennsylvania,42077,2,231,118032
4202184,Altoona,Pennsylvania,42013,3,420,46320
4202264,Ambler,Pennsylvania,42091,1,316,6417
4202288,Ambridge,Pennsylvania,42007,1,203,7050
4202720,Apollo,Pennsylvania,42129,1,203,1647
4202832,Archbald,Pennsylvania,42069,2,309,6984
4203088,Arnold,Pennsylvania,42129,1,203,5157
4203264,Ashland,Pennsylvania,42107,4,231,2817
4203272,Ashley,Pennsylvania,42079,2,309,2790
4203320,Aspinwall,Pennsylvania,42003,1,203,2801
4203392,Athens,Pennsylvania,42015,6,358,3367
4203608,Avalon,Pennsylvania,42003,1,203,4705
4203632,Avis,Pennsylvania,42035,4,358,1484
4203640,Avoca,Pennsylvania,42079,2,309,2661
4203688,Avonmore,Pennsylvania,42129,1,203,1011
4203736,Baden,Pennsylvania,42007,1,203,4135
4204032,Bangor,Pennsylvania,42095,2,231,5273
4204432,Bath,Pennsylvania,42095,2,231,2693
4204688,Beaver,Pennsylvania,42007,1,203,4531
4204792,Beaver Falls,Pennsylvania,42007,1,203,8987
4204816,Beaver Meadows,Pennsylvania,42025,2,231,869
4204944,Bedford,Pennsylvania,42009,6,420,2841
4205288,Belle Vernon,Pennsylvania,42051,1,203,1093
4205256,Bellefonte,Pennsylvania,42027,3,565,6187
4205312,Bellevue,Pennsylvania,42003,1,203,8370
4205384,Bellwood,Pennsylvania,42013,3,420,1828
4205504,Ben Avon,Pennsylvania,42003,1,203,1781
4205672,Bentleyville,Pennsylvania,42125,1,203,2581
4205776,Berlin,Pennsylvania,42111,4,420,2104
4205888,Berwick,Pennsylvania,42037,3,113,10477
4206088,Bethlehem,Pennsylvania,42095,2,231,74982
4206504,Birdsboro,Pennsylvania,42011,2,231,5163
4206904,Blairsville,Pennsylvania,42063,4,420,3412
4206928,Blakely,Pennsylvania,42069,2,309,6564
4207000,Blawnox,Pennsylvania,42003,1,203,1432
4207128,Bloomsburg,Pennsylvania,42037,3,113,14855
4207160,Blossburg,Pennsylvania,42117,6,431,1538
4207712,Boswell,Pennsylvania,42111,4,420,1277
4207960,Boyertown,Pennsylvania,42011,2,231,4055
